timestamp,emg_value,heart_rate
0.0,45,82
0.1,48,83
0.2,52,84
0.3,89,85
0.4,156,86
0.5,289,87
0.6,478,88
0.7,687,89
0.8,892,91
0.9,945,92
1.0,823,93
1.1,654,94
1.2,432,95
1.3,234,96
1.4,123,97
1.5,67,98
1.6,45,99
1.7,42,100
1.8,41,101
1.9,43,102
2.0,46,103
2.1,49,104
2.2,51,105
2.3,48,106
2.4,47,107
2.5,56,108
2.6,89,109
2.7,167,110
2.8,345,112
2.9,567,113
3.0,789,115
3.1,912,116
3.2,878,118
3.3,765,119
3.4,543,120
3.5,324,121
3.6,167,122
3.7,89,123
3.8,67,124
3.9,54,125
4.0,48,126
4.1,45,127
4.2,47,128
4.3,52,129
4.4,78,130
4.5,156,131
4.6,345,132
4.7,567,133
4.8,845,134
4.9,923,135
5.0,867,136
5.1,756,137
5.2,534,138
5.3,345,139
5.4,178,140
5.5,89,141
5.6,67,142
5.7,56,143
5.8,51,144
5.9,48,145
6.0,49,146
6.1,54,147
6.2,87,148
6.3,167,149
6.4,356,150
6.5,578,151
6.6,812,152
6.7,901,153
6.8,845,154
6.9,723,155
7.0,512,156
7.1,324,157
7.2,167,158
7.3,89,159
7.4,67,160
7.5,54,161
7.6,51,162
7.7,53,163
7.8,67,164
7.9,98,165
8.0,178,166
8.1,345,167
8.2,567,168
8.3,789,169
8.4,856,170
8.5,812,171
8.6,678,172
8.7,456,173
8.8,289,174
8.9,156,175
9.0,87,176
9.1,65,176
9.2,57,177
9.3,54,177
9.4,56,178
9.5,78,178
9.6,134,178
9.7,267,178
9.8,478,178
9.9,689,178
10.0,845,178
10.1,789,178
10.2,678,178
10.3,456,178
10.4,289,178
10.5,167,178
10.6,89,178
10.7,67,178
10.8,58,178
10.9,55,178
11.0,57,178
11.1,67,178
11.2,98,178
11.3,189,178
11.4,378,178
11.5,567,178
11.6,745,177
11.7,812,177
11.8,756,177
11.9,623,177
12.0,456,177
12.1,289,177
12.2,156,177
12.3,89,177
12.4,67,177
12.5,58,177
12.6,56,177
12.7,59,177
12.8,78,177
12.9,145,177
13.0,289,177
13.1,478,177
13.2,678,177
13.3,789,177
13.4,745,177
13.5,634,177
13.6,478,177
13.7,289,177
13.8,156,177
13.9,89,177
14.0,67,177
14.1,59,177
14.2,57,177
14.3,62,177
14.4,89,177
14.5,167,177
14.6,345,177
14.7,567,177
14.8,723,177
14.9,678,177
15.0,589,177
15.1,456,177
15.2,289,177
15.3,156,177
15.4,89,176
15.5,67,176
15.6,58,176
15.7,56,176
15.8,59,176
15.9,78,176
16.0,134,176
16.1,267,176
16.2,478,176
16.3,634,176
16.4,589,176
16.5,512,176
16.6,389,176
16.7,234,176
16.8,145,176
16.9,87,176
17.0,65,176
17.1,58,175
17.2,57,175
17.3,61,175
17.4,89,175
17.5,167,175
17.6,312,175
17.7,489,175
17.8,578,175
17.9,534,175
18.0,467,175
18.1,345,175
